gameid,playouts,playerindex,wondername,boardGold,CIVIL,MILITARY,SCIENCE,TRADE,GUILD,WONDER,GOLD
244,40,0,AlexandriaA,17,6,10,5,7,6,3,5
29,10,2,RhodosA,3,23,16,5,0,0,3,1
29,10,1,GizahB,9,14,2,1,1,11,8,3
29,10,0,EphesosB,14,14,0,2,5,6,0,4
105,20,1,GizahB,6,21,8,4,0,0,13,2
105,20,2,EphesosA,17,22,2,0,0,4,10,5
105,20,0,AlexandriaA,0,12,6,10,2,0,3,0
245,40,0,AlexandriaA,16,14,8,5,0,4,10,5
245,40,1,RhodosA,6,19,2,13,0,3,0,2
245,40,2,GizahB,0,22,2,10,0,4,0,0
154,20,0,GizahA,16,9,6,10,3,9,15,5
154,20,2,AlexandriaA,14,19,7,2,0,6,10,4
154,20,1,EphesosB,6,15,5,5,1,0,10,2
30,10,0,EphesosB,6,0,18,10,0,21,0,2
30,10,1,GizahA,3,23,0,5,3,0,8,1
30,10,2,AlexandriaB,0,27,0,5,0,5,0,0
106,20,0,EphesosA,5,8,18,5,2,14,3,1
106,20,1,RhodosA,14,29,-3,10,0,0,3,4
106,20,2,GizahB,1,14,-3,5,0,5,8,0
7,10,2,GizahB,15,19,0,4,4,0,20,5
7,10,0,AlexandriaA,20,10,14,13,7,0,0,6
7,10,1,EphesosA,6,12,2,9,0,7,10,2
107,20,1,EphesosA,11,21,3,0,0,12,10,3
107,20,0,AlexandriaA,11,17,4,21,0,0,0,3
107,20,2,RhodosB,4,17,9,13,2,0,0,1
115,20,0,EphesosB,5,18,6,10,1,5,0,1
115,20,1,GizahA,8,23,2,2,1,4,3,2
115,20,2,RhodosB,1,14,8,5,0,1,0,0
116,20,1,AlexandriaB,6,9,14,16,0,7,7,2
116,20,2,GizahA,3,29,-2,0,0,0,15,1
116,20,0,RhodosA,14,13,6,1,7,6,0,4
108,20,0,AlexandriaB,7,19,14,5,1,0,0,2
108,20,1,EphesosB,9,18,3,8,3,0,2,3
108,20,2,GizahA,13,18,-3,5,0,8,3,4
291,40,1,GizahA,4,23,16,4,0,9,3,1
291,40,2,AlexandriaA,8,24,0,1,0,0,10,2
291,40,0,EphesosA,10,2,2,13,2,5,0,3
93,10,1,RhodosB,13,12,14,9,0,5,7,4
93,10,2,EphesosB,5,22,7,4,0,0,10,1
93,10,0,GizahA,19,10,-3,5,1,13,3,6
117,20,1,AlexandriaB,10,15,0,21,0,5,7,3
117,20,0,EphesosA,20,21,2,0,3,12,3,6
117,20,2,GizahA,2,19,14,1,3,4,3,0
328,80,2,AlexandriaB,16,28,8,10,0,0,7,5
328,80,1,GizahB,5,5,14,5,0,11,13,1
328,80,0,EphesosB,14,16,-4,2,3,17,10,4
304,80,2,AlexandriaA,6,20,13,1,0,7,10,2
304,80,1,RhodosB,8,21,7,4,3,4,3,2
304,80,0,EphesosA,6,14,-4,16,0,7,3,2
94,10,0,EphesosA,12,2,17,21,4,0,0,4
94,10,1,GizahA,3,21,4,2,0,0,15,1
94,10,2,AlexandriaA,3,11,-3,9,0,11,10,1
95,10,2,AlexandriaA,8,18,13,4,0,7,10,2
95,10,1,GizahA,0,27,2,4,0,6,3,0
95,10,0,RhodosA,8,10,1,25,0,0,0,2
118,20,2,RhodosB,25,15,10,1,0,9,7,8
118,20,0,EphesosA,7,11,7,10,1,0,3,2
118,20,1,GizahA,1,29,-3,4,1,0,3,0
96,10,1,AlexandriaB,3,28,15,1,3,0,7,1
96,10,0,RhodosB,17,6,3,18,0,5,3,5
96,10,2,GizahB,5,18,-4,8,0,0,13,1
97,10,0,GizahB,31,8,12,1,4,10,8,10
97,10,1,AlexandriaB,8,18,8,10,0,0,7,2
97,10,2,EphesosB,4,13,-4,13,2,0,10,1
98,10,2,EphesosA,20,21,9,1,0,6,10,6
98,10,1,RhodosA,10,28,-3,8,0,4,3,3
98,10,0,GizahB,2,6,10,10,6,10,0,0
206,40,2,GizahA,18,31,8,1,1,3,3,6
206,40,0,AlexandriaB,1,8,8,28,0,0,7,0
206,40,1,EphesosB,13,16,-4,5,3,9,2,4
246,40,0,AlexandriaA,27,8,1,9,2,19,3,9
246,40,2,RhodosA,7,20,7,5,0,0,10,2
246,40,1,EphesosB,4,16,8,2,0,6,10,1
99,10,1,AlexandriaA,12,33,9,2,0,0,10,4
99,10,2,EphesosA,2,11,7,2,0,6,10,0
99,10,0,RhodosB,11,0,2,16,0,13,0,3
100,20,0,AlexandriaA,29,10,18,16,2,4,0,9
100,20,2,GizahB,0,18,-3,1,0,13,13,0
100,20,1,EphesosB,2,11,-3,9,2,6,10,0
292,40,2,AlexandriaB,5,31,-4,13,0,5,7,1
292,40,0,EphesosB,30,7,18,1,3,2,10,10
292,40,1,GizahB,0,14,2,13,0,8,8,0
207,40,1,RhodosB,6,19,15,2,2,6,7,2
207,40,0,GizahA,11,11,2,21,1,5,3,3
207,40,2,AlexandriaA,1,21,1,5,0,4,10,0
305,80,1,RhodosB,23,12,17,1,0,0,7,7
305,80,0,EphesosA,1,10,7,18,2,3,0,0
305,80,2,GizahA,2,25,-6,5,0,12,3,0
208,40,1,AlexandriaA,20,24,3,1,0,13,3,6
208,40,2,EphesosB,11,8,16,4,2,0,5,3
208,40,0,RhodosA,9,0,-3,21,1,3,3,3
233,40,0,RhodosA,17,21,2,1,7,5,0,5
233,40,1,GizahA,16,10,14,5,0,4,3,5
233,40,2,AlexandriaB,2,24,0,5,0,0,7,0
119,20,2,EphesosB,14,4,8,16,0,7,10,4
119,20,0,RhodosA,14,19,6,2,1,5,3,4
119,20,1,AlexandriaA,4,15,2,2,0,5,10,1
209,40,0,GizahA,29,8,18,5,2,12,3,9
209,40,2,EphesosB,8,23,-4,10,0,0,10,2
209,40,1,RhodosA,1,16,2,10,2,0,3,0
218,40,2,AlexandriaB,15,25,14,2,0,4,0,5
218,40,0,GizahB,18,18,-2,10,4,0,8,6
218,40,1,EphesosB,7,12,6,5,1,4,10,2
293,40,1,RhodosB,4,20,13,1,3,7,7,1
293,40,2,EphesosB,24,17,5,1,2,0,5,8
293,40,0,GizahB,6,4,-2,10,3,6,13,2
329,80,0,RhodosB,25,7,10,0,5,15,7,8
329,80,2,GizahB,9,15,7,10,0,0,13,3
329,80,1,AlexandriaB,4,21,-5,8,0,4,7,1
219,40,1,GizahB,3,8,8,16,0,5,8,1
219,40,0,AlexandriaB,17,11,6,4,4,4,7,5
219,40,2,RhodosB,7,19,4,4,4,4,0,2
265,40,0,RhodosA,1,10,-2,43,0,6,0,0
265,40,1,AlexandriaB,2,20,5,0,0,10,7,0
265,40,2,GizahA,7,8,15,5,2,0,8,2
120,20,1,EphesosB,3,18,9,13,1,0,10,1
120,20,2,AlexandriaB,7,21,-3,13,0,5,7,2
120,20,0,GizahA,16,6,10,2,0,10,0,5
281,40,2,GizahB,1,27,11,4,0,5,8,0
281,40,1,AlexandriaB,16,13,10,1,0,12,7,5
281,40,0,EphesosA,5,4,-3,10,8,9,3,1
210,40,0,GizahA,12,17,-2,16,6,2,0,4
210,40,2,EphesosA,7,12,4,8,0,6,10,2
210,40,1,AlexandriaB,5,21,10,1,0,0,7,1
155,20,1,RhodosB,0,12,16,21,0,0,0,0
155,20,2,AlexandriaA,18,25,0,0,7,0,10,6
155,20,0,GizahA,14,4,2,10,3,11,3,4
294,40,1,AlexandriaA,8,4,10,20,0,0,10,2
294,40,2,GizahA,1,18,11,0,3,10,3,0
294,40,0,EphesosB,26,24,-3,1,4,0,2,8
220,40,1,EphesosA,13,28,-1,1,0,7,10,4
220,40,2,GizahA,6,9,15,0,3,5,15,2
220,40,0,RhodosA,10,8,4,25,1,0,3,3
121,20,0,AlexandriaA,18,15,-1,13,8,6,3,6
121,20,1,RhodosB,4,32,2,10,0,0,3,1
121,20,2,GizahB,1,8,15,4,0,0,13,0
211,40,2,GizahA,5,20,8,18,0,0,3,1
211,40,1,AlexandriaB,0,15,2,1,0,17,7,0
211,40,0,RhodosA,12,13,6,5,7,0,3,4
132,20,0,EphesosA,22,14,12,4,0,4,3,7
132,20,1,AlexandriaA,5,18,1,4,1,7,10,1
132,20,2,RhodosB,8,14,1,2,2,9,7,2
122,20,1,RhodosA,10,19,14,1,0,9,10,3
122,20,2,EphesosA,3,20,-1,9,2,0,10,1
122,20,0,AlexandriaA,19,13,-1,2,0,9,10,6
212,40,2,RhodosB,12,20,17,1,0,4,7,4
212,40,0,EphesosB,29,6,-3,13,5,9,2,9
212,40,1,GizahA,0,17,4,13,4,0,3,0
8,10,1,RhodosB,10,29,0,1,1,7,7,3
8,10,0,EphesosA,21,9,0,10,0,10,3,7
8,10,2,AlexandriaB,0,17,0,9,1,0,7,0
330,80,0,RhodosB,3,23,7,1,2,11,0,1
330,80,1,AlexandriaA,14,10,11,4,0,5,10,4
330,80,2,EphesosA,19,10,-4,13,4,0,10,6
133,20,2,EphesosB,3,16,11,16,0,0,0,1
133,20,0,GizahA,5,9,9,2,5,6,3,1
133,20,1,RhodosA,9,12,-2,2,0,9,10,3
9,10,1,RhodosB,6,23,17,1,3,0,0,2
9,10,2,GizahB,6,20,4,5,2,0,8,2
9,10,0,EphesosA,13,0,-3,2,3,24,3,4
134,20,1,AlexandriaB,6,35,7,1,0,6,7,2
134,20,0,EphesosA,21,5,17,1,4,11,3,7
134,20,2,GizahA,3,12,-6,13,0,5,15,1
266,40,2,EphesosB,36,12,0,4,6,0,10,12
266,40,1,AlexandriaA,8,18,17,2,0,0,3,2
266,40,0,RhodosA,1,4,1,25,0,4,0,0
123,20,1,EphesosA,4,22,2,17,0,0,10,1
123,20,2,RhodosA,1,16,16,4,1,7,3,0
123,20,0,GizahA,24,5,0,9,2,2,8,8
247,40,1,EphesosB,13,21,14,0,0,11,10,4
247,40,2,GizahA,4,20,4,4,0,4,15,1
247,40,0,RhodosA,21,11,-2,18,7,0,0,7
135,20,1,GizahB,3,23,10,13,0,0,3,1
135,20,2,AlexandriaA,1,16,9,4,0,7,10,0
135,20,0,RhodosA,13,7,-3,1,3,13,0,4
213,40,0,EphesosB,19,0,12,5,8,15,2,6
213,40,2,AlexandriaB,2,13,11,5,0,8,7,0
213,40,1,RhodosA,6,27,-5,4,2,6,3,2
331,80,0,GizahB,29,13,6,1,3,21,0,9
331,80,1,RhodosA,5,26,2,13,0,0,3,1
331,80,2,EphesosA,3,16,8,2,0,0,10,1
10,10,0,GizahA,17,18,9,4,6,0,3,5
10,10,2,EphesosA,6,19,9,4,1,0,3,2
10,10,1,AlexandriaA,7,18,-6,5,0,6,10,2
282,40,0,EphesosA,27,10,4,4,0,13,3,9
282,40,2,GizahA,11,22,-2,1,3,0,15,3
282,40,1,RhodosA,1,15,10,1,0,3,3,0
267,40,1,RhodosA,0,38,2,4,0,8,3,0
267,40,2,GizahB,3,2,14,10,0,0,8,1
267,40,0,EphesosA,21,4,2,1,5,8,0,7
295,40,0,RhodosB,27,6,10,1,7,17,7,9
295,40,1,GizahA,3,16,12,2,0,0,15,1
295,40,2,AlexandriaA,6,13,-4,8,0,0,10,2
136,20,1,EphesosA,6,13,15,5,2,0,10,2
136,20,2,GizahA,7,24,1,4,0,11,3,2
136,20,0,RhodosA,13,12,2,8,4,2,3,4
11,10,2,RhodosA,5,12,14,16,0,0,3,1
11,10,1,AlexandriaA,4,24,-4,16,5,0,3,1
11,10,0,GizahA,12,12,8,0,1,11,3,4
124,20,1,RhodosB,11,20,13,5,0,0,7,3
124,20,2,AlexandriaB,6,12,2,5,0,5,7,2
124,20,0,GizahB,3,7,1,10,0,11,0,1
306,80,1,GizahA,3,25,5,10,0,9,3,1
306,80,2,AlexandriaB,7,19,15,9,0,0,7,2
306,80,0,EphesosA,6,11,-2,10,5,7,0,2
12,10,2,RhodosB,3,23,7,13,0,0,3,1
12,10,1,GizahB,11,20,13,1,1,0,3,3
12,10,0,EphesosB,11,7,-4,5,0,9,0,3
13,10,1,RhodosB,6,19,12,5,0,6,7,2
13,10,2,AlexandriaB,4,13,10,5,3,7,7,1
13,10,0,EphesosB,24,0,-4,8,6,7,2,8
248,40,0,RhodosA,4,21,10,4,3,8,3,1
248,40,1,AlexandriaA,13,16,8,5,0,0,10,4
248,40,2,GizahA,0,12,0,18,1,3,3,0
268,40,1,AlexandriaB,24,12,15,10,6,3,7,8
268,40,0,RhodosB,2,20,2,8,0,12,3,0
268,40,2,GizahA,2,9,1,2,0,2,15,0
14,10,2,AlexandriaA,6,16,16,2,0,0,10,2
14,10,0,RhodosB,18,5,8,10,8,0,3,6
14,10,1,GizahA,3,20,-6,13,0,9,3,1
137,20,0,RhodosA,18,22,-4,10,0,6,3,6
137,20,2,AlexandriaA,5,18,8,1,1,4,10,1
137,20,1,EphesosA,8,9,8,13,2,4,3,2
0,10,2,AlexandriaA,20,10,15,2,0,7,10,6
0,10,1,EphesosB,14,18,5,5,3,5,10,4
0,10,0,RhodosB,8,12,-2,21,5,0,0,2
455,160,0,EphesosB,39,0,14,0,2,10,5,13
455,160,1,GizahB,1,15,0,13,2,5,8,0
455,160,2,RhodosA,7,26,2,5,0,0,3,2
221,40,0,AlexandriaA,13,19,7,2,0,17,3,4
221,40,2,RhodosA,15,22,-6,13,2,0,0,5
221,40,1,EphesosA,1,7,17,5,1,0,3,0
269,40,0,EphesosB,12,12,16,18,0,0,2,4
269,40,1,GizahB,10,26,3,1,3,6,8,3
269,40,2,AlexandriaA,5,17,-3,13,0,0,10,1
1,10,0,GizahB,23,12,7,1,10,6,3,7
1,10,1,EphesosB,7,14,14,0,0,5,5,2
1,10,2,RhodosA,12,12,-3,20,0,0,3,4
138,20,1,RhodosB,7,24,15,10,0,0,3,2
138,20,2,GizahB,5,15,-4,5,0,0,20,1
138,20,0,AlexandriaA,7,0,3,10,3,6,3,2
2,10,2,AlexandriaB,5,16,10,0,0,13,7,1
2,10,1,EphesosA,6,24,4,5,2,0,3,2
2,10,0,GizahA,11,11,-2,1,4,7,8,3
307,80,0,RhodosA,14,7,-1,18,0,0,10,4
307,80,1,AlexandriaA,7,19,-1,4,0,0,10,2
307,80,2,EphesosB,3,10,10,5,0,3,5,1
139,20,0,AlexandriaA,20,15,4,13,6,0,10,6
139,20,2,EphesosB,4,23,9,0,0,5,10,1
139,20,1,GizahB,11,17,3,8,0,7,3,3
270,40,0,GizahB,41,0,8,2,6,10,8,13
270,40,1,RhodosA,0,39,-5,2,2,5,3,0
270,40,2,EphesosB,11,5,15,1,0,7,10,3
257,40,1,RhodosB,21,21,4,5,2,5,7,7
257,40,2,AlexandriaB,9,18,14,2,0,0,7,3
257,40,0,GizahB,6,16,-2,10,2,8,0,2
332,80,1,AlexandriaB,2,26,10,2,0,5,0,0
332,80,0,RhodosA,17,19,0,5,0,4,3,5
332,80,2,GizahB,2,10,8,2,3,6,3,0
359,80,1,AlexandriaA,4,16,5,4,0,0,10,1
359,80,2,GizahB,5,2,15,2,0,0,13,1
359,80,0,RhodosA,18,13,-4,4,4,6,3,6
222,40,0,AlexandriaA,13,3,18,9,2,10,10,4
222,40,1,GizahB,5,28,-3,0,0,3,13,1
222,40,2,RhodosB,2,20,-3,13,0,0,0,0
360,80,2,EphesosB,23,26,7,1,0,0,10,7
360,80,1,GizahB,1,11,9,5,4,0,20,0
360,80,0,RhodosA,8,6,2,21,0,8,3,2
214,40,0,RhodosB,28,3,16,13,6,0,7,9
214,40,1,AlexandriaB,4,9,-2,18,0,0,7,1
214,40,2,EphesosA,7,20,-2,1,0,5,3,2
125,20,0,GizahB,14,16,18,1,1,9,3,4
125,20,2,AlexandriaB,8,21,0,2,0,5,7,2
125,20,1,EphesosB,2,18,0,8,0,4,2,0
249,40,0,GizahA,16,10,2,10,5,16,8,5
249,40,2,EphesosA,2,22,15,1,0,0,10,0
249,40,1,AlexandriaA,9,13,1,5,1,4,10,3
3,10,1,EphesosA,19,22,1,4,0,4,10,6
3,10,0,RhodosB,12,4,8,5,0,11,7,4
3,10,2,AlexandriaB,5,15,5,9,1,0,7,1
223,40,2,EphesosB,7,18,15,2,2,4,10,2
223,40,1,GizahB,6,9,5,5,4,6,20,2
223,40,0,AlexandriaA,25,12,-2,10,0,15,3,8
283,40,1,AlexandriaA,3,15,10,10,3,7,3,1
283,40,2,EphesosA,16,17,6,8,0,0,10,5
283,40,0,RhodosA,10,6,2,9,4,8,3,3
456,160,0,GizahB,3,16,2,10,0,6,13,1
456,160,2,AlexandriaA,16,27,8,1,0,0,3,5
456,160,1,RhodosA,3,8,8,5,0,0,10,1
4,10,2,RhodosA,14,31,9,5,0,0,3,4
4,10,0,GizahA,13,6,9,10,3,10,3,4
4,10,1,EphesosB,2,13,-6,5,2,8,5,0
126,20,1,GizahA,1,20,15,0,4,2,15,0
126,20,0,RhodosB,20,5,5,16,4,6,3,6
126,20,2,EphesosA,13,22,-4,8,0,3,3,4
215,40,2,EphesosA,18,23,16,2,0,3,10,6
215,40,0,GizahB,14,5,6,10,7,2,13,4
215,40,1,AlexandriaB,11,23,-4,8,0,4,7,3
216,40,0,AlexandriaB,30,11,0,25,4,4,0,10
216,40,2,EphesosA,5,16,9,1,3,6,10,1
216,40,1,RhodosA,4,20,3,17,0,0,3,1
5,10,2,AlexandriaA,10,24,8,4,3,0,10,3
5,10,1,EphesosB,1,15,-4,16,0,6,10,0
5,10,0,RhodosA,22,2,14,2,0,16,0,7
224,40,0,AlexandriaB,17,17,11,1,2,15,0,5
224,40,2,EphesosA,9,23,-2,18,0,0,3,3
224,40,1,GizahA,5,15,9,13,2,0,3,1
333,80,0,EphesosA,17,8,8,8,6,6,3,5
333,80,1,GizahB,11,13,15,2,0,7,0,3
333,80,2,AlexandriaB,0,25,-5,8,2,6,0,0
234,40,2,AlexandriaA,5,23,-3,1,0,10,10,1
234,40,0,EphesosA,2,17,11,4,1,7,0,0
234,40,1,RhodosB,23,0,10,13,0,0,7,7
6,10,1,RhodosA,9,18,16,4,0,0,3,3
6,10,0,AlexandriaA,10,11,-2,13,3,7,3,3
6,10,2,GizahB,1,18,-2,5,4,4,0,0
217,40,0,RhodosB,8,19,7,0,2,18,7,2
217,40,2,GizahA,13,33,-4,10,3,0,3,4
217,40,1,EphesosA,24,3,13,10,0,2,10,8
194,20,0,GizahA,11,24,-1,0,3,5,15,3
194,20,2,RhodosB,29,16,1,1,0,13,7,9
194,20,1,AlexandriaB,8,6,16,8,4,0,0,2
235,40,0,EphesosA,9,13,-4,26,0,0,10,3
235,40,1,GizahB,29,6,7,1,3,4,13,9
235,40,2,RhodosA,6,15,13,0,0,2,10,2
271,40,2,AlexandriaB,12,24,5,5,0,0,7,4
271,40,1,RhodosA,3,14,15,10,0,0,3,1
271,40,0,EphesosB,15,6,-2,2,5,8,5,5
250,40,1,RhodosB,9,34,14,4,0,0,0,3
250,40,2,EphesosB,1,4,8,8,3,6,10,0
250,40,0,GizahA,25,11,-4,13,1,2,3,8
457,160,0,AlexandriaB,9,10,18,13,2,6,0,3
457,160,2,EphesosA,1,20,-4,18,2,0,10,0
457,160,1,GizahA,13,19,2,5,0,0,15,4
225,40,1,RhodosA,2,12,16,5,0,9,10,0
225,40,0,GizahB,14,8,0,13,3,1,8,4
225,40,2,AlexandriaA,4,20,2,2,0,0,10,1
308,80,0,EphesosB,25,14,6,1,4,13,10,8
308,80,1,RhodosB,12,15,18,13,0,0,0,4
308,80,2,GizahA,2,23,-6,13,0,0,15,0
272,40,2,AlexandriaA,7,25,2,13,0,0,10,2
272,40,1,RhodosB,6,18,11,10,3,5,3,2
272,40,0,GizahB,6,3,-1,13,0,18,0,2
127,20,0,RhodosB,26,16,12,2,6,0,7,8
127,20,1,EphesosA,12,7,10,10,0,8,10,4
127,20,2,AlexandriaA,0,27,-4,4,0,3,10,0
361,80,2,EphesosB,24,17,9,1,0,8,10,8
361,80,0,AlexandriaA,4,12,10,9,1,0,10,1
361,80,1,RhodosB,8,17,-3,13,2,2,0,2
128,20,1,RhodosA,0,17,17,9,0,0,10,0
128,20,2,GizahB,6,22,4,4,1,0,3,2
128,20,0,EphesosB,19,4,-3,10,8,7,0,6
258,40,0,AlexandriaB,29,25,0,0,6,6,7,9
258,40,1,EphesosA,7,7,12,10,0,7,10,2
258,40,2,RhodosA,1,15,6,4,3,6,3,0
251,40,0,EphesosA,3,13,6,26,0,0,3,1
251,40,2,AlexandriaB,4,24,6,0,1,7,7,1
251,40,1,RhodosB,14,10,6,5,0,2,7,4
334,80,1,RhodosA,17,11,9,16,0,7,3,5
334,80,0,EphesosA,15,9,9,2,3,9,10,5
334,80,2,GizahA,1,30,-6,8,0,0,8,0
129,20,0,EphesosB,24,12,-2,1,0,18,10,8
129,20,2,AlexandriaB,11,11,15,10,0,0,7,3
129,20,1,RhodosA,5,17,5,18,0,0,3,1
195,20,0,GizahA,37,2,2,10,11,6,3,12
195,20,2,EphesosB,3,14,15,8,0,0,5,1
195,20,1,AlexandriaB,1,29,1,2,0,0,7,0
284,40,0,EphesosB,11,15,10,0,4,16,2,3
284,40,1,AlexandriaB,3,16,-4,33,0,0,0,1
284,40,2,GizahB,1,13,12,4,0,0,8,0
259,40,0,RhodosB,19,6,6,26,0,5,0,6
259,40,1,EphesosA,9,24,3,1,1,0,10,3
259,40,2,GizahA,4,17,3,1,0,5,8,1
130,20,2,RhodosA,5,22,15,1,0,10,0,1
130,20,1,AlexandriaB,7,20,1,13,0,0,7,2
130,20,0,GizahB,7,13,2,16,7,0,0,2
196,20,0,EphesosB,16,14,1,13,2,3,10,5
196,20,2,AlexandriaA,6,31,0,10,0,0,3,2
196,20,1,RhodosA,5,10,17,1,3,4,10,1
236,40,0,RhodosB,13,7,5,8,5,5,7,4
236,40,1,AlexandriaA,1,10,5,10,0,0,10,0
236,40,2,GizahB,11,22,-2,1,0,0,8,3
252,40,0,EphesosB,8,6,16,9,0,14,0,2
252,40,2,GizahA,5,21,6,10,0,0,3,1
252,40,1,AlexandriaA,2,20,-4,2,2,0,3,0
131,20,1,AlexandriaB,18,23,1,2,0,12,7,6
131,20,2,EphesosA,7,18,15,5,0,0,10,2
131,20,0,GizahB,9,14,2,4,4,6,0,3
197,20,1,RhodosA,4,9,17,4,3,11,10,1
197,20,0,EphesosB,24,22,-3,2,3,4,10,8
197,20,2,GizahA,0,18,4,8,0,4,3,0
237,40,0,EphesosB,0,12,4,10,6,9,10,0
237,40,1,GizahA,22,20,1,8,0,4,8,7
237,40,2,AlexandriaB,13,17,11,1,0,3,7,4
260,40,0,GizahA,21,4,2,0,7,6,15,7
260,40,2,AlexandriaB,3,16,6,8,0,0,7,1
260,40,1,RhodosB,5,20,8,2,0,0,0,1
362,80,0,AlexandriaA,18,12,8,5,2,5,10,6
362,80,2,GizahA,5,16,14,1,1,5,3,1
362,80,1,RhodosA,6,22,-4,1,0,2,3,2
198,20,1,AlexandriaB,22,29,10,0,0,4,7,7
198,20,2,GizahB,1,15,4,2,3,7,13,0
198,20,0,EphesosB,10,0,-2,13,7,2,2,3
273,40,2,AlexandriaA,15,22,9,16,0,0,3,5
273,40,1,EphesosB,5,19,1,1,0,12,10,1
273,40,0,GizahB,6,14,2,2,1,9,3,2
285,40,0,RhodosB,8,8,6,9,0,16,7,2
285,40,2,AlexandriaB,6,18,16,5,0,0,7,2
285,40,1,GizahB,4,23,-4,5,0,6,13,1
238,40,2,RhodosA,5,20,18,1,1,9,3,1
238,40,0,EphesosB,16,2,0,21,0,10,5,5
238,40,1,GizahB,18,8,0,5,6,4,3,6
261,40,2,AlexandriaB,16,24,6,5,0,0,7,5
261,40,0,GizahA,9,8,10,5,7,7,3,3
261,40,1,EphesosB,2,11,-4,1,0,13,10,0
274,40,0,RhodosB,23,7,12,2,2,19,7,7
274,40,2,EphesosB,1,21,8,1,0,5,10,0
274,40,1,GizahA,7,21,-4,5,1,0,15,2
199,20,0,GizahB,19,21,2,13,0,0,0,6
199,20,2,RhodosB,3,23,8,1,0,6,3,1
199,20,1,AlexandriaA,5,2,6,4,0,6,10,1
351,80,1,GizahA,4,19,12,5,0,10,8,1
351,80,2,RhodosB,6,32,-4,4,0,2,3,2
351,80,0,EphesosA,28,0,4,13,9,0,3,9
262,40,2,EphesosA,15,21,2,13,0,0,10,5
262,40,1,GizahA,4,20,13,5,3,0,8,1
262,40,0,RhodosA,29,14,1,1,4,5,3,9
239,40,0,RhodosB,10,8,16,10,1,6,3,3
239,40,2,EphesosA,3,26,-2,13,2,0,3,1
239,40,1,AlexandriaB,6,21,-2,8,0,2,7,2
253,40,0,GizahB,2,8,18,2,2,17,3,0
253,40,2,RhodosA,7,31,-1,0,7,0,10,2
253,40,1,AlexandriaA,25,16,1,2,0,5,10,8
275,40,0,AlexandriaB,10,20,0,1,0,16,7,3
275,40,2,RhodosB,8,17,11,2,5,0,7,2
275,40,1,EphesosA,13,16,3,10,0,0,10,4
309,80,2,RhodosA,11,14,14,5,1,6,3,3
309,80,1,AlexandriaB,17,23,0,5,0,5,0,5
309,80,0,EphesosB,1,6,2,5,4,3,5,0
240,40,1,GizahA,6,16,4,13,4,0,3,2
240,40,2,RhodosB,5,12,17,1,0,4,7,1
240,40,0,AlexandriaB,10,15,-3,18,0,4,0,3
286,40,1,AlexandriaA,19,21,6,4,0,0,10,6
286,40,2,RhodosA,9,14,12,4,5,5,3,3
286,40,0,EphesosB,3,15,-2,25,0,0,0,1
200,40,2,RhodosB,12,9,14,4,1,7,7,4
200,40,0,GizahB,30,17,7,1,2,0,8,10
200,40,1,EphesosA,24,17,-3,2,0,4,10,8
263,40,0,AlexandriaA,26,8,5,10,8,3,3,8
263,40,2,EphesosA,6,12,9,2,0,4,10,2
263,40,1,RhodosA,1,16,-2,5,0,6,3,0
363,80,0,AlexandriaA,17,17,7,10,0,8,3,5
363,80,1,EphesosA,4,22,-3,16,0,4,10,1
363,80,2,GizahA,1,11,14,4,2,0,15,0
201,40,2,EphesosB,8,28,6,2,0,4,10,2
201,40,1,RhodosA,4,20,11,5,3,0,3,1
